Company Name,"Location 
(Headquarters)",Type of Document,Page title,Main Topic,URL Address,"Connection With
 Other Companies",Associated Topics,"Key Words 
Referencing AI",Comments,Latitude,Longitude
Microsoft,"Redmond, Washington, USA",Web Page,About  ,Empowering the world to achieve more,https://www.microsoft.com/en-us/about,NA,"Rights, Sustainability, Diversity and Inclusion, Innovation",NA,"The entire page laid out its four missions; There was a weird focus on ""trust"" and ""honesty"" that was mentioned multiple times",47.67462496,-122.120399
Microsoft,"Redmond, Washington, USA",Web Page,Corporate Responsibility,"Accelerating sustainability; driving responsible, transparent AI",https://www.microsoft.com/en-us/corporate-responsibility,NA,"Rights, Security and Privacy, Digital skills, Sustainability",NA,"There is a section titled ""Stories of Impact"" in which stories about healthcare accessibility, rural hospitals and cyberattacks, and biodiversity are all listed",47.67462496,-122.120399
NVIDIA,"Santa Clara, California, USA",Web Page,About US,Accelerated Computing,https://www.nvidia.com/en-us/about-nvidia/#About%20Us,NA,"graphics, automotive industry, healthcare, sustainability","AI, digital twin, industrial digitization","This page references the demand that AI currently places on energy consumption, and argues that accleration is the only way to reach sustainability",37.35411197,-121.9543327
Apple ,"Cupertino, California, USA",???,,,https://www.apple.com/apple-intelligence/,,,,,37.32305206,-122.0305813
Alphabet,"Mountain View, California, USA",???,,,https://abc.xyz/,,,,,37.39067535,-122.0778707
Meta Platforms,"Menlo Park, California, USA",Web Page,About,Brief description of mission and strategies,https://www.meta.com/about/,NA,"future of human connection, innovations",Meta Ai,Mainly served as a connection to other pages that had more speciffic information about the company,37.45405392,-122.1807813
Meta Platforms,"Menlo Park, California, USA",Web Page,Our Mission,Gave information about careers at the company,https://www.meta.com/about/company-info/,NA,"Empowerment,",NA,Only gave information about advancing your career at the company,37.45405392,-122.1807813
Meta Platforms,"Menlo Park, California, USA",Web Page,Meta AI,Presented the different tasks that can be accomplished using Meta AI,https://ai.meta.com/?utm_source=about_meta_site&utm_medium=web&utm_content=hero_homepage,NA,"Bring imagination to life, latest models, inovations","Meta Ai, personal Ai",This page mainly showcased the different meta AI apps and their functionalities,37.45405392,-122.1807813
Tesla,"Austin, Texas, USA",Web Page,AI and Robotics,Developing and deplying autonomy at sale,https://www.tesla.com/AI ,NA,inovations,"self-driving, autonomus, bi-pedal",focuses mostly on the products of the company,30.26339699,-97.7439708
Oracle,"Austin, Texas, USA",Web Page,Artificial Intelligence (AI),Aplications and services that can be acomplished with AI,https://www.oracle.com/artificial-intelligence/,"cohere, anaconda, experian, mosaic, nivio, nvidia, razer, zuno","services, inovations, generation","Generative-Ai, AI-Infrastructure",showcases the services the company has to offer,30.26339699,-97.7439708
Palantir,"Denver, Colorado, USA",Web Page,Why We're Here,"augmenting human intelligence, not replacing it",https://www.palantir.com/about/,NA,"Mission diorve, human advancement, ",NA,"Never mentions the word AI, there is a page dedicated to a statement on modern salvery and human trafficking",39.73878773,-104.985228
IBM,"New York, NY, USA",Web Page,About IBM,"Global impacts on AI, work, and sustainability through technological innovation",https://www.ibm.com/about?lnk=hpii1us,NA,"Innovation, Sustainability, enviromwental commitment, responsible technology","AI solutions, responsible technology, digital employees, inteligent automation",looks towards a future of AI workers,40.71020494,-73.95621
CoreWave,"Livingston, New Jersey, USA",Web Page,About CoreWave,Supporting and building generative AI,https://www.coreweave.com/about-us,NA,"innovations, growth, empowerement","AI Hypersaclers, genreative AI, AI at scale","breif, has a big section focused on the leadership team",40.78208161,-74.31268957